Date,Close/Last,Volume,Open,High,Low
11/24/2023,$189.97,24048340,$190.87,$190.90,$189.25
11/22/2023,$191.31,39630010,$191.49,$192.93,$190.825
11/21/2023,$190.64,38134490,$191.41,$191.52,$189.74
11/20/2023,$191.45,46538610,$189.89,$191.905,$189.88
11/17/2023,$189.69,50941400,$190.25,$190.38,$188.57
11/16/2023,$189.71,54412920,$189.57,$190.96,$188.65
11/15/2023,$188.01,53790500,$187.845,$189.50,$187.78
11/14/2023,$187.44,60108380,$187.70,$188.11,$186.30
11/13/2023,$184.80,43627520,$185.82,$186.03,$184.21
11/10/2023,$186.40,66177920,$183.97,$186.565,$183.53
11/09/2023,$182.41,53763540,$182.96,$184.12,$181.81
11/08/2023,$182.89,49340280,$182.35,$183.45,$181.59
11/07/2023,$181.82,70529970,$179.18,$182.44,$178.97
11/06/2023,$179.23,63841310,$176.38,$179.43,$176.21
11/03/2023,$176.65,79829250,$174.24,$176.82,$173.35
11/02/2023,$177.57,77334750,$175.52,$177.78,$175.46
11/01/2023,$173.97,56934910,$171.00,$174.23,$170.12
10/31/2023,$170.77,44846020,$169.35,$170.90,$167.90
10/30/2023,$170.29,51130960,$169.02,$171.17,$168.87
10/27/2023,$168.22,58499130,$166.91,$168.96,$166.83
10/26/2023,$166.89,70625260,$170.37,$171.3775,$165.67
10/25/2023,$171.10,57156960,$171.88,$173.06,$170.65
10/24/2023,$173.44,43816640,$173.05,$173.67,$171.45
10/23/2023,$173.00,55980110,$170.91,$174.01,$169.93
10/20/2023,$172.88,64244030,$175.31,$175.42,$172.64
10/19/2023,$175.46,59302860,$176.04,$177.84,$175.19
10/18/2023,$175.84,54764380,$175.58,$177.575,$175.11
10/17/2023,$177.15,57549350,$176.645,$178.42,$174.80
10/16/2023,$178.72,52516980,$176.75,$179.075,$176.51
10/13/2023,$178.85,51456080,$181.42,$181.93,$178.14
10/12/2023,$180.71,56743120,$180.07,$182.34,$179.04
10/11/2023,$179.80,47551100,$178.20,$179.85,$177.60
10/10/2023,$178.39,43698020,$178.10,$179.72,$177.95
10/09/2023,$178.99,42390770,$176.81,$179.05,$175.80
10/06/2023,$177.49,57266680,$173.80,$177.99,$173.18
10/05/2023,$174.91,48527920,$173.79,$175.45,$172.68
10/04/2023,$173.66,53020290,$171.09,$174.21,$170.97
10/03/2023,$172.40,49594610,$172.255,$173.63,$170.82
10/02/2023,$173.75,52164540,$171.22,$174.30,$170.93
09/29/2023,$171.21,51861080,$172.02,$173.07,$170.341
09/28/2023,$170.69,56294420,$169.34,$172.03,$167.62
09/27/2023,$170.43,66921810,$172.62,$173.04,$169.05
09/26/2023,$171.96,64588950,$174.82,$175.20,$171.66
09/25/2023,$176.08,46172740,$174.20,$176.97,$174.15
09/22/2023,$174.79,56725390,$174.67,$177.079,$174.05
09/21/2023,$173.93,63149120,$174.55,$176.30,$173.86
09/20/2023,$175.49,58436180,$179.26,$179.695,$175.40
09/19/2023,$179.07,51826940,$177.52,$179.63,$177.13
09/18/2023,$177.97,67257570,$176.48,$179.38,$176.17
09/15/2023,$175.01,109259500,$176.48,$176.495,$173.82
09/14/2023,$175.74,60895760,$174.00,$176.10,$173.58
09/13/2023,$174.21,84267930,$176.51,$177.30,$173.98
09/12/2023,$176.30,90370190,$179.49,$180.13,$174.82
09/11/2023,$179.36,58953050,$180.07,$180.30,$177.34
09/08/2023,$178.18,65602070,$178.35,$180.239,$177.79
09/07/2023,$177.56,112488800,$175.18,$178.21,$173.54
09/06/2023,$182.91,81755820,$188.40,$188.85,$181.47
09/05/2023,$189.70,45280030,$188.28,$189.98,$187.61
09/01/2023,$189.46,45766500,$189.485,$189.92,$188.28
08/31/2023,$187.87,60794470,$187.84,$189.12,$187.48
08/30/2023,$187.65,60813890,$184.94,$187.85,$184.74
08/29/2023,$184.12,53003950,$179.695,$184.90,$179.50
08/28/2023,$180.19,43820700,$180.09,$180.59,$178.545
08/25/2023,$178.61,51449590,$177.38,$179.15,$175.82
08/24/2023,$176.38,54945800,$180.674,$181.104,$176.01
08/23/2023,$181.12,52722750,$178.52,$181.55,$178.325
08/22/2023,$177.23,42084250,$177.06,$177.68,$176.25
08/21/2023,$175.84,46311880,$175.07,$176.13,$173.735
08/18/2023,$174.49,61172150,$172.30,$175.10,$171.96
08/17/2023,$174.00,66062880,$177.14,$177.5054,$173.48
08/16/2023,$176.57,46964860,$177.13,$178.54,$176.50
08/15/2023,$177.45,43622590,$178.88,$179.48,$177.05
08/14/2023,$179.46,43675630,$177.97,$179.69,$177.305
08/11/2023,$177.79,52036670,$177.32,$178.62,$176.55
